counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,C,13826,2,1,64,925.2,253.6,65.7
1,C,13826,5,2,64,925.2,253.6,65.7
1,C,13826,23,3,64,925.2,253.6,65.7
1,C,13826,60,4,64,925.2,253.6,65.7
1,C,13826,104,5,64,925.2,253.6,65.7
1,C,13826,92,6,64,925.2,253.6,65.7
2,C,40714,1,1,64,925.2,253.6,65.7
2,C,40714,6,2,64,925.2,253.6,65.7
2,C,40714,132,3,64,925.2,253.6,65.7
2,C,40714,369,4,64,925.2,253.6,65.7
2,C,40714,243,5,64,925.2,253.6,65.7
2,C,40714,468,6,64,925.2,253.6,65.7
3,C,26258,1,1,64,925.2,253.6,65.7
3,C,26258,46,2,64,925.2,253.6,65.7
3,C,26258,166,3,64,925.2,253.6,65.7
3,C,26258,167,4,64,925.2,253.6,65.7
3,C,26258,208,5,64,925.2,253.6,65.7
3,C,26258,194,6,64,925.2,253.6,65.7
4,C,6433,2,1,64,925.2,253.6,65.7
4,C,6433,16,2,64,925.2,253.6,65.7
4,C,6433,65,3,64,925.2,253.6,65.7
4,C,6433,120,4,64,925.2,253.6,65.7
4,C,6433,150,5,64,925.2,253.6,65.7
4,C,6433,114,6,64,925.2,253.6,65.7
5,C,1037,0,1,64,925.2,253.6,65.7
5,C,1037,2,2,64,925.2,253.6,65.7
5,C,1037,10,3,64,925.2,253.6,65.7
5,C,1037,6,4,64,925.2,253.6,65.7
5,C,1037,13,5,64,925.2,253.6,65.7
5,C,1037,10,6,64,925.2,253.6,65.7
6,C,353,1,1,64,925.2,253.6,65.7
6,C,353,0,2,64,925.2,253.6,65.7
6,C,353,6,3,64,925.2,253.6,65.7
6,C,353,2,4,64,925.2,253.6,65.7
6,C,353,10,5,64,925.2,253.6,65.7
6,C,353,11,6,64,925.2,253.6,65.7
7,C,639,0,1,64,925.2,253.6,65.7
7,C,639,3,2,64,925.2,253.6,65.7
7,C,639,6,3,64,925.2,253.6,65.7
7,C,639,11,4,64,925.2,253.6,65.7
7,C,639,13,5,64,925.2,253.6,65.7
7,C,639,14,6,64,925.2,253.6,65.7
